"pizzaId";"pizzaName";"pizzaPrice";"pizzaPrice1";"pizzaPrice2";"pizzaDesc";"pizzaCategorieId";"pizzaPubDate"
"300";"Soul Flavours Dal Makhni";"93";"18.6";"0.69";"Code: FP3084   Shade Name: 
DP: 93.00   BV: 18.60   PV: 0.69
Weight(gm): 332.00";"28";"2022-02-26 15:41:17"
"301";"Soul Flavours Plain Rice";"93";"18.6";"0.69";"Code: FP3080   Shade Name: 
DP: 93.00   BV: 18.60   PV: 0.69
Weight(gm): 284.00";"28";"2022-02-26 15:42:10"
"302";"Soul Flavours Soya Tikka Masala";"150";"30";"1.11";"Code: FP3077   Shade Name: 
DP: 150.00   BV: 30.00   PV: 1.11
Weight(gm): 332.00";"28";"2022-02-26 15:43:17"
"303";"Soul Flavours Quinoa";"250";"125";"4.63";"Code: FP0032   Shade Name: 
DP: 250.00   BV: 125.00   PV: 4.63
Weight(gm): 510.00";"28";"2022-02-26 15:44:16"
"304";"Soul Flavours Active Rice Bran Oil Dispenser";"125";"50";"1.85";"Code: 606000   Shade Name: 
DP: 125.00   BV: 50.00   PV: 1.85
Weight(gm): 86.00";"28";"2022-02-26 15:46:33"
"305";"Soul Flavours Fish Masala";"71";"17.75";"0.66";"Code: FP3062   Shade Name: 
DP: 71.00   BV: 17.75   PV: 0.66
Weight(gm): 100.00";"28";"2022-02-26 15:48:54"
"306";"Soul Flavours Meat Masala";"71";"17.75";"0.66";"Code: FP3061   Shade Name: 
DP: 71.00   BV: 17.75   PV: 0.66
Weight(gm): 100.00";"28";"2022-02-26 15:49:41"
"307";"Soul Flavours Hing";"50";"12.5";"0.46";"Code: FP3070   Shade Name: 
DP: 50.00   BV: 12.50   PV: 0.46
Weight(gm): 22.00
";"28";"2022-02-26 15:50:25"
"308";"Soul Flavours Kitchen King Masala";"70";"17.5";"0.65";"Code: FP3069   Shade Name: 
DP: 70.00   BV: 17.50   PV: 0.65
Weight(gm): 100.00";"28";"2022-02-26 15:53:06"
"310";"Soul Pops Fruit Chaat Candy";"47";"9.4";"0.35";"Code: FP3058   Shade Name: 
DP: 47.00   BV: 9.40   PV: 0.35
Weight(gm): 212.00";"28";"2022-02-26 15:55:02"
"311";"Soul Pops Masala Soda Candy";"47";"9.4";"0.35";"Code: FP3057   Shade Name: 
DP: 47.00   BV: 9.40   PV: 0.35
Weight(gm): 212.00";"28";"2022-02-26 15:55:40"
"312";"Soul Pops Gazab Guava Candy";"47";"9.4";"0.35";"Code: FP3052   Shade Name: 
DP: 47.00   BV: 9.40   PV: 0.35
Weight(gm): 212.00";"28";"2022-02-26 15:56:24"
"313";"Soul Pops Chatpata Orange Candy";"47";"9.4";"0.35";"Code: FP3051   Shade Name: 
DP: 47.00   BV: 9.40   PV: 0.35
Weight(gm): 212.00";"28";"2022-02-26 15:57:21"
"314";"Soul Pops Kaccha Aam Candy";"47";"9.4";"0.35";"Code: FP3044   Shade Name: 
DP: 47.00   BV: 9.40   PV: 0.35
Weight(gm): 212.00";"28";"2022-02-26 15:58:10"
"315";"One Der Scrub";"130";"65";"2.41";"Code: HC5005   Shade Name: 
DP: 130.00   BV: 65.00   PV: 2.41
Weight(gm): 99.00";"33";"2022-02-26 17:04:52"
"316";"Mighty In-One Shine & Protect";"475";"237.5";"8.8";"Code: HC3031   Shade Name: 
DP: 475.00   BV: 237.50   PV: 8.80
Weight(gm): 280.00";"33";"2022-02-26 17:05:53"
"317";"Mighty In-One Multipurpose Cleaner";"125";"62.5";"2.31";"Code: HC3030   Shade Name: 
DP: 125.00   BV: 62.50   PV: 2.31
Weight(gm): 312.00";"33";"2022-02-26 17:06:44"
"318";"Spic ‘N’ Span Scale And Bathroom Cleaner";"174";"87";"3.22";"Code: HC3028   Shade Name: 
DP: 174.00   BV: 87.00   PV: 3.22
Weight(gm): 372.00";"33";"2022-02-26 17:08:46"
"319";"Duz All Advanced Concentrated Multi Purpose Cleaner (Biosafe Formula)";"245";"122.5";"4.54";"Code: HC2025   Shade Name: DUZ ALL ADVANCED - CONCENTRATED MULTIPURPOSE CLEANER (New MRP)
DP: 245.00   BV: 122.50   PV: 4.54
Weight(gm): 560.00";"33";"2022-02-26 17:09:49"
"320";"Sparkle Advanced Concentrated Glass Cleaner With Antifog Effect(Biosafe Formula)";"170";"85";"3.15";"Code: HC2024   Shade Name: 
DP: 170.00   BV: 85.00   PV: 3.15
Weight(gm): 537.00";"33";"2022-02-26 17:10:38"
"321";"Hd Heavy Duty Floor Cleaner";"150";"75";"2.78";"Code: HC2021   Shade Name: 
DP: 150.00   BV: 75.00   PV: 2.78
Weight(gm): 618.00";"33";"2022-02-26 17:13:21"
